SN,Name,Entropy,BRISQUE,PSNR
1,2015_01911.jpg,7.151015979472862,14.251274957544723,24.757822461151953
2,2015_01916.jpg,6.590065949318736,51.68969175247727,25.077699925770133
3,2015_01944.jpg,5.290978463860434,46.661943060672996,25.923815513281646
4,2015_01937.jpg,6.014538823542286,21.100061085805777,23.55232279770277
5,2015_01910.jpg,6.272702880729696,28.08337094382736,26.192420259654114
6,2015_01926.jpg,7.439079750127176,24.264568758355352,29.699634613800082
7,2015_01941.jpg,6.6582179751002055,25.549678951998402,30.5697159172992
8,2015_01927.jpg,6.485999147883878,6.698774572215797,26.13703818639364
9,2015_01930.jpg,6.366314657812829,20.09947947944883,34.65547894772169
10,2015_01920.jpg,5.794085008336206,11.789521447544388,36.4658898582093
11,2015_01921.jpg,3.9223884964752047,76.0796196397433,25.45141257308692
12,2015_01942.jpg,6.987162916069451,22.380739910191636,34.039088194535175
13,2015_01946.jpg,5.471746114418788,47.174753611045816,24.540736539174333
14,2015_01913.jpg,6.655484225522046,14.79969163378209,27.311321197692415
15,2015_01935.jpg,6.532576883767716,23.31835015140743,26.56103552964259
16,2015_01928.jpg,5.656548619887836,41.05111707180967,28.871435446827476
17,2015_01906.jpg,4.856773711745403,40.13333448592638,21.044485185768647
18,2015_01908.jpg,6.128629806677884,20.47288607398636,29.4847102984056
19,2015_01907.jpg,7.2297466475662855,18.59259848404926,32.325021665908956
20,2015_01918.jpg,6.565334347823112,8.23414246835577,23.885362133349496
21,2015_01943.jpg,6.177365990696658,15.355398174331384,33.01947959450655
22,2015_01948.jpg,7.19553972399488,24.805795945828294,34.15174527841546
23,2015_01950.jpg,5.674941445535553,16.96577294541325,25.86509892847484
24,2015_01934.jpg,6.8093847982375175,31.8465841220237,33.29114293701266
25,2015_01915.jpg,6.83876607355161,12.989041492639075,25.683574925210408
26,2015_01947.jpg,6.733048357522344,27.05395900785706,27.264615800937055
27,2015_01932.jpg,6.123681277189684,22.833450769238624,24.34200148355582
28,2015_01925.jpg,7.319332889980818,10.248173556142063,24.23710057828872
29,2015_01933.jpg,6.5071526374409245,5.888494391174817,27.54320192826997
30,2015_01938.jpg,5.8620766452928965,12.329200064628907,38.04537268751562
31,2015_01931.jpg,6.902024997146886,12.85758142587494,31.21951429607869
32,2015_01945.jpg,5.858082582499642,23.94717552354652,28.137993888373984
33,2015_01922.jpg,7.02188785035193,13.0930752265958,32.07967282683739
34,2015_01909.jpg,5.5325959936399345,64.09274090490712,20.490004716563057
35,2015_01914.jpg,3.96610151844845,64.80399930573307,21.732635399642056
36,2015_01936.jpg,6.149885064824972,14.97610467194201,34.81129984891494
37,2015_01940.jpg,2.881728698503828,64.88455990167083,19.312994162419525
38,2015_01905.jpg,7.30559623144657,43.03831674562238,24.37954840640938
39,2015_01929.jpg,6.556392669550545,19.455738430311015,20.31602562630534
40,2015_01904.jpg,5.467736126146294,21.240025253504626,21.806335865724623
41,2015_01919.jpg,6.55944994446456,10.928058036639158,34.546521706272316
42,2015_01939.jpg,6.9332413557339745,11.955099487995057,26.889160996824785
43,2015_01923.jpg,6.945290286926341,20.710585595852734,37.75570932206206
44,2015_01903.jpg,7.4974669981233255,24.079790761895396,26.28260875198698
45,2015_01912.jpg,6.4074580465257345,27.93218216196803,22.964827911995208
46,2015_01901.jpg,3.190920297975704,50.43265350414853,27.62996225716858
47,2015_01917.jpg,6.405095772558324,-1.758983177690567,27.062506600139784
48,2015_01949.jpg,6.29803916384459,12.460576502029511,28.43157373237771
49,2015_01924.jpg,6.41280056859309,15.410080916927512,29.042741476858517
50,2015_01902.jpg,7.037915292624211,49.5557316685333,26.486204701989866
