SN,Name,Entropy,BRISQUE,PSNR
1,2015_05001.jpg,5.823283005492256,75.17114084038744,26.234576003819654
2,2015_05002.jpg,5.905736952161576,9.24993699316289,17.888099101141705
3,2015_05003.jpg,4.723970795824908,23.07971493723275,17.06786210931578
4,2015_05004.jpg,4.063615586675508,56.52919762469273,23.84796753929022
5,2015_05005.jpg,6.6996484200718305,31.127948743745236,23.787961818550333
6,2015_05006.jpg,5.144519362872746,44.567226438233064,21.6356860656591
7,2015_05007.jpg,4.3162776902483255,50.50569028075162,19.81225076223812
8,2015_05008.jpg,6.534284060031282,22.451091246560253,18.64501289909978
9,2015_05009.jpg,1.909288515130789,90.03817609329641,32.659835378826564
10,2015_05010.jpg,6.196969812387667,8.478620974349354,26.508753320299625
11,2015_05011.jpg,6.128412948933201,17.435279594484854,16.92365941598894
12,2015_05012.jpg,7.281940769066981,37.609163112079244,22.203471962364745
13,2015_05013.jpg,5.9172435029514965,21.39971836285835,24.15666208242413
14,2015_05014.jpg,6.6452143403421156,18.350045430969175,19.68141565760763
15,2015_05015.jpg,5.5345510139908605,51.71089229206618,19.207077146985267
16,2015_05016.jpg,4.733623136673596,38.42742272094901,16.900134930299796
17,2015_05017.jpg,5.986016265731559,32.106860472711986,20.320063461830465
18,2015_05018.jpg,3.4626529475794987,56.125970270770694,18.180596082240616
19,2015_05019.jpg,2.934772291627823,84.60875885174104,24.52077070778998
20,2015_05020.jpg,5.164134081449648,19.40421691532228,17.193880027085108
21,2015_05021.jpg,5.1249488407785275,44.08904345928735,22.836530809540353
22,2015_05022.jpg,4.438637644267618,68.03924537418513,15.872653175234056
23,2015_05023.jpg,3.860395431728733,49.19807172809939,23.94482543805834
24,2015_05024.jpg,6.599829383296356,16.76503698280166,20.08516896131118
25,2015_05025.jpg,1.6575695102759105,87.19518058852154,22.66581581933377
26,2015_05026.jpg,7.114186425697597,13.180930754066111,27.45020812532151
27,2015_05027.jpg,4.034551810952325,15.504759548377791,23.791234541497378
28,2015_05028.jpg,7.413334605615002,22.422823076879666,28.28879956783078
29,2015_05029.jpg,4.311895225325544,28.70216481692725,20.013677156124103
30,2015_05030.jpg,5.31091329666331,23.258763816601316,23.887252514673403
31,2015_05031.jpg,5.176674916783219,12.214259350518972,16.44972976897329
32,2015_05032.jpg,6.606023642928558,3.093921902257847,22.82469816819676
33,2015_05033.jpg,5.961157425237269,49.227843800703766,19.158068787045877
34,2015_05034.jpg,7.263294099556348,15.430350442983325,21.088792320446398
35,2015_05035.jpg,5.427435838707379,13.036198249151852,19.52699197062215
36,2015_05036.jpg,6.560916956142572,20.016003089035934,24.708736303215233
37,2015_05037.jpg,3.521813374498082,42.901746809452646,16.39124349482356
38,2015_05038.jpg,7.325536678260889,16.55592389520936,28.057649344735104
39,2015_05039.jpg,4.46688088519519,39.37924008472439,23.226576784204344
40,2015_05040.jpg,6.996953696150455,22.321170572748514,22.89870668994177
41,2015_05041.jpg,6.1282005464786415,15.580718959381755,18.690325781415726
42,2015_05042.jpg,5.650986104492284,21.30019966734207,20.085258000535603
43,2015_05043.jpg,7.397671006662976,44.77479228091133,29.22386690904187
44,2015_05044.jpg,5.318349404274034,7.151846230738414,22.738260763779728
45,2015_05045.jpg,7.085506022753114,26.76011763915787,29.135470176359632
46,2015_05046.jpg,5.469999753521588,23.40829028621053,24.566241915516347
47,2015_05047.jpg,3.7757176603291267,78.58647385458542,19.96672109953009
48,2015_05048.jpg,5.650045903000214,19.26609298346395,23.359338107393217
49,2015_05049.jpg,7.35459074209041,14.88631947119822,22.84526849556999
50,2015_05050.jpg,6.516952185858274,35.56738999834906,29.6952105369121
