SN,Name,Entropy,BRISQUE,PSNR
1,2015_06251.jpg,6.218656653121791,14.87033025725961,32.858800726852586
2,2015_06252.jpg,5.229282214810309,23.48785305777264,28.468490586073315
3,2015_06253.jpg,3.758491522168255,33.465535244146366,29.005701254841565
4,2015_06254.jpg,4.8275234143391,3.5547957415916187,29.103963053028714
5,2015_06255.jpg,6.059388002770061,14.876263445774242,22.5349219894918
6,2015_06256.jpg,5.748825708873487,33.480983951722095,21.391345505714536
7,2015_06257.jpg,6.856047518877398,10.54003073726571,23.53372801437956
8,2015_06258.jpg,7.05168445262824,9.051429214308058,24.293776245624784
9,2015_06259.jpg,2.4472518067913307,63.15794738168242,26.840101467526733
10,2015_06260.jpg,6.101420109235725,13.273493978511482,29.535372222455894
11,2015_06261.jpg,5.274561809312874,14.132381462550342,22.28991754015687
12,2015_06262.jpg,2.760515406407657,96.28956720709007,16.185327414050963
13,2015_06263.jpg,4.439812877244171,39.68383563177903,21.40500806283329
14,2015_06264.jpg,5.90259727306033,23.21878903748197,27.510429463526712
15,2015_06265.jpg,4.778681683832348,11.927060974344357,24.576206997412328
16,2015_06266.jpg,3.8171980253198248,32.832099450488016,28.209236864833507
17,2015_06267.jpg,6.519823927487802,14.37116077266441,23.046503437119803
18,2015_06268.jpg,5.59030521393842,31.450827413602127,21.718952786049254
19,2015_06269.jpg,6.604685869679848,20.38061545971911,22.167826029486143
20,2015_06270.jpg,5.957414627477755,31.077660615894587,28.20166646873418
21,2015_06271.jpg,6.4729980252926245,22.477912494832907,36.74417917191265
22,2015_06272.jpg,4.556277948141729,11.462215765058971,27.597307556657572
23,2015_06273.jpg,5.934301373207542,10.76253545798565,30.019977376752816
24,2015_06274.jpg,5.611562348480258,21.732201302924153,25.768635819416037
25,2015_06275.jpg,4.689533052453662,6.6023193268192415,33.56785596228927
26,2015_06276.jpg,5.21600904249651,11.095932481714357,27.872863745517215
27,2015_06277.jpg,6.142504176713404,12.650459696128422,20.46016678774897
28,2015_06278.jpg,5.652344315573005,6.891785338486983,28.39657935818426
29,2015_06279.jpg,6.168600287398208,16.154764496043725,39.998549058247605
30,2015_06280.jpg,5.644518465164371,37.23042803812413,27.535180614946807
31,2015_06281.jpg,2.4037604005047792,81.96892499288063,22.953315933650682
32,2015_06282.jpg,5.503311777309879,14.346456102036058,24.7817906338437
33,2015_06283.jpg,6.7794515825879,2.7947601585856034,22.199688581893863
34,2015_06284.jpg,6.492989307137169,13.775559097376657,28.76968596180904
35,2015_06285.jpg,5.131198274135409,20.253309028171742,28.702384996823945
36,2015_06286.jpg,5.933218987642166,31.92893355367525,20.09943453892809
37,2015_06287.jpg,4.700039329822385,29.702023591957953,27.74416335019232
38,2015_06288.jpg,4.645440532738104,40.85419950943432,20.556291597401444
39,2015_06289.jpg,5.934154280185786,30.614654521416895,32.12840080418163
40,2015_06290.jpg,5.566987061590846,20.28185391307906,20.02014310579165
41,2015_06291.jpg,5.973905994191232,20.08326452444632,31.29582911441604
42,2015_06292.jpg,4.240071891372037,20.63326504255039,28.521101766722985
43,2015_06293.jpg,5.6258754650909335,17.675668661128356,23.370060463096586
44,2015_06294.jpg,6.419679820907498,5.193302378449374,26.2108068980036
45,2015_06295.jpg,6.651601538098621,19.21129503496897,31.64493549005597
46,2015_06296.jpg,5.918457301147376,10.93369959016897,25.811690614006203
47,2015_06297.jpg,5.715918230781307,19.775494977617058,29.41530798489209
48,2015_06298.jpg,4.084118646324315,54.64065748056427,20.68334284066473
49,2015_06299.jpg,3.572778717011179,59.511350789156126,17.59584569656536
50,2015_06300.jpg,5.335123896603869,11.15521737303115,30.523721923841833
