SN,Name,Entropy,BRISQUE,PSNR
1,2015_04451.jpg,0.8203215436434595,117.88410573644998,25.49575577781625
2,2015_04452.jpg,6.239260572642958,45.40727735650384,20.9910091842438
3,2015_04453.jpg,5.188199399109917,62.98542329045469,19.930041664783282
4,2015_04454.jpg,5.35386799461344,22.26713420995779,20.553673891341635
5,2015_04455.jpg,6.252371227397365,53.88191686315733,25.779504745247202
6,2015_04456.jpg,6.996226679181358,19.08254526875791,29.14987218174542
7,2015_04457.jpg,7.252097947908705,38.01371537093368,21.31444469761615
8,2015_04458.jpg,6.343835407089215,68.84935274485585,24.280392110219218
9,2015_04459.jpg,5.300529024311841,45.5744326190447,23.427276875118782
10,2015_04460.jpg,4.942829608544381,81.55387245692944,26.668449615854797
11,2015_04461.jpg,6.210521331429735,61.71640292869367,28.322219896060755
12,2015_04462.jpg,6.231639573748908,18.852848549757226,19.468587138569855
13,2015_04463.jpg,5.351118610361099,39.39018278496107,24.943443406796963
14,2015_04464.jpg,3.126411323355491,69.36882237722918,22.751908560022862
15,2015_04465.jpg,5.496037435026276,64.58366080778328,19.237158857175455
16,2015_04466.jpg,5.154842605069289,29.417694325342012,22.00785342526458
17,2015_04467.jpg,3.664413195983017,53.891196448485374,22.591752991663956
18,2015_04468.jpg,5.7195698037026705,34.50176171264363,23.235801551217484
19,2015_04469.jpg,5.876186878387204,57.776275044049584,16.033156247472892
20,2015_04470.jpg,6.394968493568065,30.402876173839303,22.92934096224302
21,2015_04471.jpg,5.755791798351686,32.85013346495609,26.567425070619475
22,2015_04472.jpg,1.4105193625146708,96.56097595493983,31.646053653888963
23,2015_04473.jpg,6.034095512149722,20.64396798791435,22.0093535643458
24,2015_04474.jpg,6.452740198484639,38.53179712898813,21.151391758570156
25,2015_04475.jpg,6.765650197723071,29.876933273124536,32.4299856273897
26,2015_04476.jpg,4.343068265909739,69.21311443721945,23.148362139409222
27,2015_04477.jpg,7.255697488597349,45.09883678532728,23.05348182851464
28,2015_04478.jpg,6.988875488580557,26.36298478279545,28.920469355234193
29,2015_04479.jpg,7.360135811455489,35.159104276824195,29.671587203680442
30,2015_04480.jpg,6.662455740849695,-0.0044504888066114745,21.25227800326342
31,2015_04481.jpg,7.201327893856927,10.548503182367739,30.133746612631796
32,2015_04482.jpg,5.732846052211186,6.436287308214531,21.181448969682855
33,2015_04483.jpg,6.874105589267435,-0.449980707635774,21.04398058444592
34,2015_04484.jpg,6.8214842524754005,0.363519386596721,24.74207049022838
35,2015_04485.jpg,6.402544880375877,17.816834322026324,22.982328781746354
36,2015_04486.jpg,6.632133187492628,35.37232096094678,17.531356521708148
37,2015_04487.jpg,6.927943824767817,12.760305297713302,24.578986686101967
38,2015_04488.jpg,7.081546595370657,1.6092508315364,23.84647632128153
39,2015_04489.jpg,7.134184719027882,30.716129084921448,30.07547895739641
40,2015_04490.jpg,7.5810871204257895,7.824535489383123,28.76541541677963
41,2015_04491.jpg,6.988297018753379,11.148010380375325,20.989811338647563
42,2015_04492.jpg,5.284963576823018,52.61526979206005,21.800352456509287
43,2015_04493.jpg,7.488449074492744,28.207167767184245,24.090779855421903
44,2015_04494.jpg,6.967326370784755,12.158171396520373,21.89929345195611
45,2015_04495.jpg,6.429905191285893,18.598815469889786,21.205352978377924
46,2015_04496.jpg,7.090094555658651,24.547851756879112,23.196357192220045
47,2015_04497.jpg,6.583882427870035,5.658973990340058,19.873555339354738
48,2015_04498.jpg,6.816998098771302,21.435543982303415,21.87984790201835
49,2015_04499.jpg,6.953098763197854,36.43002907527554,29.588012076880975
50,2015_04500.jpg,6.2873026854882585,14.028773838096043,20.85135001512188
