SN,Name,Entropy,BRISQUE,PSNR
1,2015_00032.jpg,6.573413153055334,9.608338880238847,22.986110359055946
2,2015_00041.jpg,5.908211752642021,25.01083372111131,22.48622365417131
3,2015_00015.jpg,3.849592730159399,40.94351870830971,28.060676407660722
4,2015_00004.jpg,4.63323465917589,21.539600560566754,29.12433913480904
5,2015_00037.jpg,5.197945808734829,6.062303903255355,25.270730217060322
6,2015_00048.jpg,7.483850033200422,24.24483342918151,37.94365175903176
7,2015_00021.jpg,6.367182680274982,17.959459337637753,35.74629014152777
8,2015_00020.jpg,7.310343237178322,25.47475698049854,25.44105112516005
9,2015_00040.jpg,6.5582484987561145,8.44310683333967,27.97325930036342
10,2015_00028.jpg,5.8627494735972006,9.377488833448382,25.278468327432044
11,2015_00019.jpg,6.7256850423931285,24.705291235650265,27.111061242549383
12,2015_00005.jpg,6.936793862217117,20.273328462292938,27.53594382457862
13,2015_00026.jpg,5.435367881647575,21.466299580286517,36.64182740905427
14,2015_00009.jpg,6.911467304313956,14.105292911436749,22.959702543049122
15,2015_00046.jpg,6.8107362639998765,35.02295959599766,26.278032660986177
16,2015_00038.jpg,6.446068934445219,13.279907141719235,31.802300110248364
17,2015_00045.jpg,6.6716123281605775,22.025342618610665,33.170840053964056
18,2015_00023.jpg,7.332702307144433,12.777829460452352,26.16716230778878
19,2015_00031.jpg,6.434550059693606,22.033868589335356,21.27427685493323
20,2015_00010.jpg,5.292645653223677,39.22325816916643,22.984553472170536
21,2015_00047.jpg,5.70335399911056,45.731599925114864,26.27279672077478
22,2015_00022.jpg,6.961150424793,12.779540802581408,33.760070769390566
23,2015_00043.jpg,5.895719065699363,10.439414494342458,24.296392805060783
24,2015_00025.jpg,6.910664399851779,5.255112095763451,22.495662982903106
25,2015_00016.jpg,7.1180206271476045,26.897185552504965,27.12363304734213
26,2015_00008.jpg,6.674913092539433,18.10044085851277,25.4241474162473
27,2015_00044.jpg,7.2187652885889015,42.23502344592302,19.546902272878558
28,2015_00042.jpg,5.343930600617925,5.436911125975001,26.814419023032343
29,2015_00049.jpg,7.228042317478075,12.472031710608206,28.870707310927646
30,2015_00036.jpg,5.216717965368939,4.07126699931402,24.863496308493804
31,2015_00011.jpg,6.293925108683024,50.01263598217881,18.183197390211276
32,2015_00033.jpg,5.308585548083268,20.288571679737146,20.830019339849102
33,2015_00039.jpg,6.9618752472387495,20.923674945187685,27.27474998742975
34,2015_00029.jpg,5.747438214843181,8.22238773348883,22.583747789812925
35,2015_00018.jpg,7.462267377319001,13.504954467089846,25.135687766904667
36,2015_00050.jpg,5.922154647984986,21.495397772721816,31.44324974345264
37,2015_00012.jpg,6.962286417738376,45.614161304282646,20.200151797998736
38,2015_00030.jpg,6.711374162918257,12.066156601765755,27.37759195319313
39,2015_00034.jpg,6.127839418993967,24.901473056312483,27.375726498306918
40,2015_00017.jpg,7.395786362079294,21.557365568061954,27.790256968827546
41,2015_00007.jpg,6.502330740451402,17.14732472267471,21.517116555883135
42,2015_00006.jpg,7.414701465978093,15.568715507970154,25.221940870733505
43,2015_00013.jpg,6.701048325797763,53.36085864790684,20.36550536506161
44,2015_00014.jpg,6.818135458172203,15.36140421488787,31.01753271563466
45,2015_00027.jpg,6.498013077048356,12.922701342799286,23.537742821891683
46,2015_00035.jpg,5.4994016576375415,33.85088522582643,23.120305336421673
