SN,Name,Entropy,BRISQUE,PSNR
1,2015_03801.jpg,7.266371814602415,28.819103201966158,21.68968926982052
2,2015_03802.jpg,7.402372831684369,14.4470814674888,21.705706780090157
3,2015_03803.jpg,5.35228583312994,17.277735945254534,25.509286969873493
4,2015_03804.jpg,5.570008184882794,34.82883459973752,21.107069915017675
5,2015_03805.jpg,3.322994866752775,70.83365903768694,17.26431907867132
6,2015_03806.jpg,6.185426021918909,17.29351960362439,21.775124387244006
7,2015_03807.jpg,5.642207629043987,43.30578704251249,23.01699997699698
8,2015_03808.jpg,6.584782947558693,38.484936128028465,21.706152493549347
9,2015_03809.jpg,7.218932372978633,12.045485894384313,23.380063819209276
10,2015_03810.jpg,5.348663289507076,58.49795380775353,30.53428563761511
11,2015_03811.jpg,7.090783036266747,64.5000843509857,26.862963278209982
12,2015_03812.jpg,5.331128702732157,30.936954522440686,23.82271711354052
13,2015_03813.jpg,3.406992292705289,55.1571201638844,19.766812175338288
14,2015_03814.jpg,5.8538030244194506,11.177976727931735,20.450534700330287
15,2015_03815.jpg,5.66333868806487,4.057350014026696,15.385757552053565
16,2015_03816.jpg,5.353356902959891,12.093288401126841,20.713003556569063
17,2015_03817.jpg,4.1013199922383015,63.266684982347755,36.464839261377676
18,2015_03818.jpg,6.9859806109172276,24.304052655014033,30.62598620680535
19,2015_03819.jpg,5.406187515558893,50.313448531538114,25.190300055615644
20,2015_03820.jpg,6.5044622726681,17.580569170366715,23.5906625905883
21,2015_03821.jpg,4.574326516506033,67.93243025815158,27.913347554815353
22,2015_03822.jpg,6.738475784091272,36.65415375997836,25.324032991162163
23,2015_03823.jpg,7.225147229493271,45.572598869229495,29.8000080850572
24,2015_03824.jpg,6.871263846995565,33.31652965791042,25.688075722406673
25,2015_03825.jpg,7.220209399366937,6.0345498922267495,22.17433888218023
26,2015_03826.jpg,5.519049654789368,155.84499999999193,20.038397917774766
27,2015_03827.jpg,5.126617237193684,61.82954765148426,24.51987301837985
28,2015_03828.jpg,4.664847072895078,126.19906203429261,25.75201737259327
29,2015_03829.jpg,5.515994876447763,25.04024948630999,19.16001763474401
30,2015_03830.jpg,6.446469106412697,22.61279771404938,26.920969669767473
31,2015_03831.jpg,7.199438985426784,17.466296862759208,18.779831911167413
32,2015_03832.jpg,6.536873004048844,27.7827635162773,21.869379636862554
33,2015_03833.jpg,6.193073979500611,-4.443100387274768,21.047616500326182
34,2015_03834.jpg,3.861520736181845,63.80310358810297,16.12324755141929
35,2015_03835.jpg,6.601593869945759,27.287365584678895,23.73942110346627
36,2015_03836.jpg,5.588771992141965,24.898287239083828,15.820596435731725
37,2015_03837.jpg,5.001643815239508,47.29338085378092,22.217708949343937
38,2015_03838.jpg,6.9443538823060615,14.410086240815957,28.26942785765912
39,2015_03839.jpg,5.958266363589414,6.853202033781798,21.8139958592311
40,2015_03840.jpg,3.943256020177453,44.81232640080847,26.13192163300114
41,2015_03841.jpg,5.2868896203590365,49.19745444543659,22.590511405012478
42,2015_03842.jpg,6.573594378013662,18.397192442185514,18.66650446127489
43,2015_03843.jpg,6.16723342861313,20.229109861360797,26.208191694731177
44,2015_03844.jpg,6.002820039125607,23.091069100524322,14.832474441288303
45,2015_03845.jpg,4.894345523509715,22.65258185750824,20.929412708438782
46,2015_03846.jpg,4.669480430575241,80.80661800073355,20.488244525145184
47,2015_03847.jpg,5.7839771096558605,37.581310223092345,21.07069851420158
48,2015_03848.jpg,6.706536145424746,12.468040222418239,23.439062965387862
49,2015_03849.jpg,4.0547694752688574,48.44456730808221,21.995736474191695
50,2015_03850.jpg,6.6493008843728765,32.66845166008656,25.043257268786093
